hl1_x,position_section,position_subsection,author,year,longitude,latitude,Tracts,T_Total,T_White alone,T_Black or African American alone,T_American Indian and Alaska Native alone,T_Asian alone,T_Native Hawaiian and Other Pacific Islander alone,T_Some Other Race alone,T_Population of two or more races,T_Total Hispanic or Latino origin,T_Not Hispanic or Latino,T_Hispanic or Latino,Article_Count,T_majority_race,Neighborhood,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander",Other Races or Multiple Races,majority_race
bruins canadiens,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
turnabout is fair play,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
nhl standings,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
future may rest in his hands,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
key move turning the other cheek,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics wilt under pressure,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
windows xp soon to become windows r.i.p.,BUSINESS,unknown,unknown,2014.0,-71.0609947,42.3658989,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
stars thumbnails,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
stevens fostering positive culture,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins canadiens,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
rondo embracing new role,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
gostisbehere makes name for himself,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
gostisbehere makes name for himself,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
nba standings,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins structure sound,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
winners and losers,REGIONAL,North,unknown,2014.0,-71.06357679999999,42.3616092,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
looking for finishing touch,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
state health law still gets ayes,NEWS,unknown,unknown,2014.0,-71.0609772,42.3638828,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
krejci still moving forward,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
shorthanded roster getting job done,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins wild,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
something to remember them by,LIVING ARTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins hurricanes,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
new trio ready to rev up the crowds,LIVING ARTS,unknown,unknown,2014.0,-71.0614196,42.3645781,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins coyotes,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins coyotes,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
uphill climb,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
workout has quite an ending,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
off ice bantering adds sizzle to series,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
avalanche thumbnails,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
power forwards the center of attention,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
nba standings,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
sharks thumbnails,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
pair accused of dealing heroin,NEWS,Metro,unknown,2014.0,-71.0612773,42.3629707,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
blues thumbnails,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
canucks dismiss coach,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
parole chief ok as judge narrowly,NEWS,Metro,unknown,2014.0,-71.0612773,42.3629707,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
for health connector users feeling of disconnection,NEWS,Metro,unknown,2014.0,-71.0609772,42.3638828,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
reining in emotions key against nets,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
weise says lucic wasn good loser,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
red wings bruins,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bergeron is honored to be olympian again,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
chara hand has healed,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
zetterberg gets back into action,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
oilers thumbnails,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
judge decries aig tactics orders insurer to pay $7m,NEWS,Metro,unknown,2014.0,-71.0638364,42.3628394,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
judge decries aig tactics orders insurer to pay $7m,NEWS,Metro,unknown,2014.0,-71.0638364,42.3628394,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
amid standouts they stand out,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
nhl standings,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins flyers,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
ducks bruins,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
ducks bruins,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
right this minute,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
canadiens thumbnails,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
ice chips,REGIONAL,South,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
