year,position_section,position_subsection,longitude,latitude,Tracts,Article_Count,Neighborhood,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander",Other Races or Multiple Races,majority_race,Sentiment,Mean_Sentiment_Section,Mean_Sentiment_Neighborhood
2017.0,SPORTS,unknown,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.5,0.0903221039128991,0.10206360537913488
2017.0,REGIONAL,South,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.12206611570247933,0.14766550047283641,0.10206360537913488
2017.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.15388397970872195,0.0953384332181913,0.10206360537913488
2017.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.14353832442067735,0.08917509413449169,0.10206360537913488
2017.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.13928251807716097,0.08917509413449169,0.10206360537913488
2017.0,REGIONAL,West,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.08322601010101009,0.14766550047283641,0.10206360537913488
2017.0,SUNDAY,Ideas,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.0362468671679198,0.139806554518592,0.10206360537913488
2017.0,REGIONAL,South,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.2565295815295815,0.14766550047283641,0.10206360537913488
2017.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.03409090909090908,0.08917509413449169,0.10206360537913488
2017.0,MAGAZINE,unknown,-71.0561981,42.3587684,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.22295381172499812,0.13644669719621808,0.10206360537913488
2017.0,LIVING ARTS,unknown,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.14243576489845142,0.12683551063776752,0.10206360537913488
2017.0,SPORTS,unknown,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.0655308373218821,0.0903221039128991,0.10206360537913488
2017.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.15618730407523507,0.08917509413449169,0.10206360537913488
2017.0,LIVING ARTS,unknown,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.1234236777715039,0.12683551063776752,0.10206360537913488
2017.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.12695454545454546,0.0953384332181913,0.10206360537913488
2017.0,NEWS,Metro,-71.057993,42.360406,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.027086339586339582,0.08917509413449169,0.10206360537913488
2017.0,SPORTS,unknown,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.1157142857142857,0.0903221039128991,0.10206360537913488
2017.0,EDITORIAL OPINION,Letters,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.16709956709956714,0.09837645332305145,0.10206360537913488
2017.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.12029768585324142,0.08917509413449169,0.10206360537913488
2017.0,NEWS,Metro,-71.057993,42.360406,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.06600378787878787,0.08917509413449169,0.10206360537913488
2017.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,-0.02312499999999999,0.08917509413449169,0.10206360537913488
2017.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,-0.012242169595110769,0.0953384332181913,0.10206360537913488
2017.0,LIVING ARTS,unknown,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.10935786435786438,0.12683551063776752,0.10206360537913488
2017.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.12299127640036729,0.0953384332181913,0.10206360537913488
2017.0,NEWS,Metro,-71.0561981,42.3587684,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.11554621848739495,0.08917509413449169,0.10206360537913488
2017.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.06139520202020199,0.08917509413449169,0.10206360537913488
2017.0,EDITORIAL OPINION,Letters,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.14988095238095236,0.09837645332305145,0.10206360537913488
2017.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.10282480571637195,0.08917509413449169,0.10206360537913488
2017.0,EDITORIAL OPINION,Editorial,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,-0.02251082251082252,0.09837645332305145,0.10206360537913488
2017.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.09247519284556323,0.08917509413449169,0.10206360537913488
2017.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.12032323232323232,0.0953384332181913,0.10206360537913488
2017.0,EDITORIAL OPINION,Opinion,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.13574552927231498,0.09837645332305145,0.10206360537913488
2017.0,EDITORIAL OPINION,Letters,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.034764481550195826,0.09837645332305145,0.10206360537913488
2017.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.08295454545454546,0.08917509413449169,0.10206360537913488
2017.0,LIVING ARTS,unknown,-71.0502554,42.3562236,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.3,0.12683551063776752,0.10206360537913488
2017.0,EDITORIAL OPINION,Opinion,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.08610898905016555,0.09837645332305145,0.10206360537913488
2017.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.013784528963100387,0.08917509413449169,0.10206360537913488
2017.0,SUNDAY,Travel,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.1459737122780601,0.139806554518592,0.10206360537913488
2017.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.006268037518037518,0.0953384332181913,0.10206360537913488
2017.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,-0.0196969696969697,0.0953384332181913,0.10206360537913488
2017.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.05728236914600551,0.0953384332181913,0.10206360537913488
2017.0,EDITORIAL OPINION,Letters,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.05897435897435897,0.09837645332305145,0.10206360537913488
2017.0,SPORTS,unknown,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.008510281385281374,0.0903221039128991,0.10206360537913488
2017.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,-0.07794612794612796,0.08917509413449169,0.10206360537913488
2017.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.39166666666666666,0.08917509413449169,0.10206360537913488
2017.0,EDITORIAL OPINION,Letters,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,-0.10357142857142858,0.09837645332305145,0.10206360537913488
2017.0,NEWS,Metro,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.02272727272727272,0.08917509413449169,0.10206360537913488
2017.0,EDITORIAL OPINION,Letters,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.33611111111111114,0.09837645332305145,0.10206360537913488
2017.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.06527462121212121,0.0953384332181913,0.10206360537913488
2017.0,SPORTS,unknown,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.06641513170924936,0.0903221039128991,0.10206360537913488
2017.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.15413488163488162,0.0953384332181913,0.10206360537913488
2017.0,LIVING ARTS,unknown,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.14620462368956344,0.12683551063776752,0.10206360537913488
2017.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.07823695508880694,0.0953384332181913,0.10206360537913488
2017.0,EDITORIAL OPINION,Opinion,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.1376159951159951,0.09837645332305145,0.10206360537913488
2017.0,BUSINESS,unknown,-71.0588801,42.3600825,30300.0,952.0,North End,9306.0,141.0,528.0,445.0,385.0,White alone,0.11035714285714286,0.0953384332181913,0.10206360537913488
